Stolberg, 50.77368, 6.22595
Stralsund, 54.30911, 13.0818
Stuttgart, 48.78232, 9.17702
Tempelhof, 52.46667, 13.4
Treptow, 52.49376, 13.44469
Trier, 49.75565, 6.63935
Troisdorf, 50.80901, 7.14968
Tübingen, 48.52266, 9.05222
Ulm, 48.39841, 9.99155
Universitäts- und Hansestadt Greifswald, 54.08905, 13.40244
Unna, 51.53795, 7.68969
Velbert, 51.33537, 7.04348
Viersen, 51.25435, 6.39441
Villingen-Schwenningen, 48.06226, 8.49358
Waiblingen, 48.83241, 9.31641
Wandsbek, 53.58334, 10.08305
Wedding, 52.54734, 13.35594
Weimar, 50.9803, 11.32903
Wesel, 51.6669, 6.62037
Wetzlar, 50.56109, 8.50495
Wiesbaden, 50.08601, 8.24435
Wilhelmsburg, 53.49624, 10.01712
Wilhelmshaven, 53.5476, 8.10395
Willich, 51.26371, 6.54734
Wilmersdorf, 52.48333, 13.31667
Winterhude, 53.59368, 10.01123
Witten, 51.44362, 7.35258
Wolfenbüttel, 52.16442, 10.54095
Wolfsburg, 52.42452, 10.7815
Worms, 49.63278, 8.35916
Wuppertal, 51.25627, 7.14816
Würzburg, 49.79391, 9.95121
Zehlendorf, 52.43333, 13.25
Zwickau, 50.72724, 12.48839
